AcademicGroup,AcademicOrganization,Subject,Catalog Number,Section,Class Number,Title,Instructor,Enrollment Capacity,Total Enrolled,Seats Available,Enrollment Status,Component,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Start Time,End Time,Location,Waitlist Cap,Waitlist Total
,,BIO, 223,8,12889,Anatomy & Physio Lab I,"Laxer,Marc",20,20,0,Closed,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-334,5,0
,,BIO, 234,1,12890,Biology Of Cells,"Hable,Whitney E",140,129,11,Open,Lecture,Y,,Y,,Y,,,10:00 AM,10:50 AM,LIB-206,15,0
,,BIO, 244,1,12891,Biology of Cells Lab,"Hable,Whitney E",16,17,-1,Closed,Laboratory,Y,,,,,,,2:00 PM,4:50 PM,SENG-328,10,0
,,BIO, 244,2,12892,Biology of Cells Lab,"Ladino,Cynthia A",16,17,-1,Closed,Laboratory,,Y,,,,,,9:30 AM,12:15 PM,SENG-328,10,0
,,BIO, 244,2,12892,Biology of Cells Lab,"Ladino,Cynthia A",16,17,-1,Closed,Laboratory,,Y,,,,,,9:30 AM,12:15 PM,SENG-328,10,0
,,BIO, 244,3,12893,Biology of Cells Lab,"Smith,Leah M",16,17,-1,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-328,10,0
,,BIO, 244,3,12893,Biology of Cells Lab,"Smith,Leah M",16,17,-1,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-328,10,0
,,BIO, 244,04H,12894,Biology of Cells Lab,"Hable,Whitney E",16,11,5,Open,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-328,10,0
,,BIO, 244,5,12895,Biology of Cells Lab,"Daley,Meaghan Christine",16,17,-1,Closed,Laboratory,,,,Y,,,,9:30 AM,12:15 PM,SENG-328,10,0
,,BIO, 244,5,12895,Biology of Cells Lab,"Daley,Meaghan Christine",16,17,-1,Closed,Laboratory,,,,Y,,,,9:30 AM,12:15 PM,SENG-328,10,0
,,BIO, 244,6,12896,Biology of Cells Lab,"Nuttall,Ryan Axl",16,17,-1,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-328,10,0
,,BIO, 244,6,12896,Biology of Cells Lab,"Nuttall,Ryan Axl",16,17,-1,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-328,10,0
,,BIO, 244,7,12897,Biology of Cells Lab,"Shoemaker,Katyanne Marie",16,16,0,Closed,Laboratory,,,Y,,,,,5:30 PM,8:20 PM,SENG-328,10,0
,,BIO, 244,7,12897,Biology of Cells Lab,"Shoemaker,Katyanne Marie",16,16,0,Closed,Laboratory,,,Y,,,,,5:30 PM,8:20 PM,SENG-328,10,0
,,BIO, 251,1,12898,Medical Microbiology,"Ventetuolo,Alan J",60,60,0,Closed,Lecture,,Y,,Y,,,,11:00 AM,12:15 PM,DION-116,15,0
,,BIO, 261,1,12899,Medical Microbiology Lab,"Ventetuolo,Alan J",20,20,0,Closed,Laboratory,Y,,,,,,,2:00 PM,4:50 PM,SENG-330,15,0
,,BIO, 261,2,12900,Medical Microbiology Lab,"Ventetuolo,Alan J",20,20,0,Closed,Laboratory,Y,,,,,,,5:00 PM,7:50 PM,SENG-330,15,0
,,BIO, 261,3,12901,Medical Microbiology Lab,"Ventetuolo,Alan J",20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-330,15,0
,,BIO, 270,1,15513,Biology Teaching Experience,"O'Connor,Nancy J.",1,1,0,Closed,Practicum,,,,,,,,,,,0,0
,,BIO, 270,2,16598,Biology Teaching Experience,"Oliveira,Kenneth",2,2,0,Closed,Practicum,,,,,,,,,,,0,0
,,BIO, 310,1,12902,Infection and Immunology,"Bromage,Erin",42,43,-1,Closed,Lecture,Y,,Y,,Y,,,1:00 PM,1:50 PM,SENG-114,15,0
,,BIO, 316,1,12903,Descript Oceanography,"Petitpas,Christian M",40,35,5,Open,Lecture,Y,,Y,,Y,,,9:00 AM,9:50 AM,LARTS-116,15,0
,,BIO, 317,1,12904,Bio Of Invertebrates,"O'Connor,Nancy J.",20,20,0,Closed,Lecture,Y,,Y,,Y,,,10:00 AM,10:50 AM,SENG-210,15,0
,,BIO, 317,01L1,12905,Bio Of Invertebrates,"O'Connor,Nancy J.",20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-318,15,0
,,BIO, 321,1,12906,General Microbiology,"Silby,Mark W",40,40,0,Closed,Lecture,,Y,,Y,,,,12:30 PM,1:45 PM,SENG-210,15,0
,,BIO, 321,01L1,12907,General Microbiology,"Silby,Mark W",20,20,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-330,15,0
,,BIO, 321,01L2,12908,General Microbiology,"Moisander,Pia H",20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-330,15,0
,,BIO, 401,1,12909,Genomics,"Drew,Robert Edward",15,8,7,Open,Lecture,,Y,,Y,,,,11:00 AM,12:15 PM,SENG-108,10,0
,,BIO, 401,1,12909,Genomics,"Drew,Robert Edward",15,8,7,Open,Lecture,,Y,,,,,,2:00 PM,4:50 PM,SENG-336,10,0
,,BIO, 411,2,12912,Proseminar,"Bernal,Diego",20,16,4,Open,Seminar,,Y,,Y,,,,12:30 PM,1:45 PM,LARTS-209,15,0
,,BIO, 413,1,12914,Biology Of Fishes,"Oliveira,Kenneth",15,14,1,Open,Lecture,,Y,,Y,,,,9:30 AM,10:45 AM,SENG-318,10,0
,,BIO, 413,01L1,12915,Biology Of Fishes,"Oliveira,Kenneth",15,14,1,Open,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-318,10,0
,,BIO, 414,1,12918,Biology Marine Mammals,"Connor,Richard C",20,21,-1,Closed,Lecture,,Y,,Y,,,,8:00 AM,9:15 AM,SENG-109,15,0
,,BIO, 415,1,12920,Comp Vertebrate Anatomy,"Kavanagh,Kathryn D",20,20,0,Closed,Lecture,,Y,,Y,,,,11:00 AM,12:15 PM,SENG-215,15,0
,,BIO, 415,01L1,12921,Comp Vertebrate Anatomy,"Kavanagh,Kathryn D",20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-318,15,0
,,BIO, 427,1,12922,Molecular Biology,"McCliment,Elizabeth A",40,18,22,Open,Lecture,,Y,,Y,,,,8:00 AM,9:15 AM,SENG-115,15,0
,,BIO, 430,1,12924,Intro Biological Stat,"Bucci,Vanni",30,30,0,Closed,Lecture,Y,,Y,,Y,,,11:00 AM,11:50 AM,SENG-210,15,0
,,BIO, 430,01L1,12925,Intro Biological Stat,"Bucci,Vanni",15,15,0,Closed,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-336,10,0
,,BIO, 430,01L2,13397,Intro Biological Stat,"Rajaniemi,Tara K",15,15,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-336,10,0
,,BIO, 440,01H,12928,Research Project,"Silby,Mark W",1,0,1,Open,Research,,,,,,,,,,,1,0
,,BIO, 440,2,12929,Research Project,"Drew,Robert Edward",5,0,5,Open,Research,,,,,,,,,,,5,0
,,BIO, 440,3,12930,Research Project,"O'Connor,Nancy J.",1,0,1,Open,Research,,,,,,,,,,,1,0
,,BIO, 440,4,12931,Research Project,"Moisander,Pia H",1,0,1,Open,Research,,,,,,,,,,,1,0
,,BIO, 440,5,12932,Research Project,"Kavanagh,Kathryn D",1,0,1,Open,Research,,,,,,,,,,,1,0
,,BIO, 440,6,12933,Research Project,"Oliveira,Kenneth",1,0,1,Open,Research,,,,,,,,,,,1,0
,,BIO, 440,7,15905,Research Project,"Kavanagh,Kathryn D",1,1,0,Closed,Research,,,,,,,,,,,0,0
,,BIO, 440,8,12934,Research Project,"Hable,Whitney E",1,0,1,Open,Research,,,,,,,,,,,1,0
,,BIO, 440,9,16769,Research Project,"Koop,Jennifer A",1,1,0,Closed,Research,,,,,,,,,,,0,0
,,BIO, 440,10,12935,Research Project,"Bromage,Erin",1,1,0,Closed,Research,,,,,,,,,,,1,0
,,BIO, 440,11,15659,Research Project,"Kavanagh,Kathryn D",1,1,0,Closed,Research,,,,,,,,,,,0,0
,,BIO, 440,12,16670,Research Project,"Rajaniemi,Tara K",1,2,-1,Closed,Research,,,,,,,,,,,0,0
,,BIO, 440,13,16841,Research Project,"Hable,Whitney E",1,0,1,Open,Research,,,,,,,,,,,0,0
,,BIO, 441,1,12936,Research Project,"Drew,Robert Edward",5,1,4,Open,Research,,,,,,,,,,,5,0
,,BIO, 441,02H,15492,Research Project,"Drew,Robert Edward",1,1,0,Closed,Research,,,,,,,,,,,0,0
,,BIO, 441,3,15660,Research Project,"Bernal,Diego",1,1,0,Closed,Research,,,,,,,,,,,0,0
,,BIO, 441,04H,16612,Research Project,"Oliveira,Kenneth",2,2,0,Closed,Research,,,,,,,,,,,0,0
,,BIO, 499,1,12938,Capstone Research,"Rajaniemi,Tara K",15,5,10,Open,Seminar,Y,,,,,,,2:00 PM,4:50 PM,SENG-336,10,0
,,BIO, 499,2,12939,Capstone Research,"O'Connor,Nancy J.",15,15,0,Closed,Seminar,Y,,,,,,,3:00 PM,5:45 PM,SENG-318,10,0
,,BIO, 501,1,12910,Genomics,"Drew,Robert Edward",5,3,2,Open,Lecture,,Y,,Y,,,,11:00 AM,12:15 PM,SENG-108,5,0
,,BIO, 501,1,12910,Genomics,"Drew,Robert Edward",5,3,2,Open,Lecture,,Y,,,,,,2:00 PM,4:50 PM,SENG-336,5,0
,,BIO, 511,1,16551,Graduate Seminar,"Kavanagh,Kathryn D",2,2,0,Closed,Seminar,,,,,,,,,,,0,0
,,BIO, 513,1,12916,Biology Of Fishes,"Oliveira,Kenneth",5,5,0,Closed,Lecture,,Y,,Y,,,,9:30 AM,10:45 AM,SENG-318,5,0
,,BIO, 513,01L1,12917,Biology Of Fishes,"Oliveira,Kenneth",5,5,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-318,5,0
,,BIO, 514,1,12919,Biology Marine Mammals,"Connor,Richard C",5,1,4,Open,Lecture,,Y,,Y,,,,8:00 AM,9:15 AM,SENG-109,5,0
,,BIO, 527,1,12923,Molecular Biology,"McCliment,Elizabeth A",5,2,3,Open,Lecture,,Y,,Y,,,,8:00 AM,9:15 AM,SENG-115,5,0
,,BIO, 530,1,12926,Intro Biological Stat,"Bucci,Vanni",10,11,-1,Closed,Lecture,Y,,Y,,Y,,,11:00 AM,11:50 AM,SENG-210,10,0
,,BIO, 530,01L1,12927,Intro Biological Stat,"Bucci,Vanni",5,6,-1,Closed,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-336,5,0
,,BIO, 530,01L2,13539,Intro Biological Stat,"Rajaniemi,Tara K",5,5,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-336,5,0
,,BIO, 593,1,12940,Graduate Research,"O'Connor,Nancy J.",1,0,1,Open,Thesis Research,,,,,,,,,,,1,0
,,BIO, 595,1,15902,Independent Study,"Silby,Mark W",1,1,0,Closed,Independent Study,,,,,,,,,,,0,0
,,BIO, 599,1,12941,Graduate Thesis,"Turner,Jefferson T",1,0,1,Open,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,2,12942,Graduate Thesis,"Hable,Whitney E",1,0,1,Open,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,3,12943,Graduate Thesis,"Drew,Robert Edward",1,0,1,Open,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,4,12944,Graduate Thesis,"Silby,Mark W",1,0,1,Open,Thesis Research,,,,,,,,,,,1,0
